,baseFare
43138,203.73
138158,357.21
48004,82.79
141694,152.56
57954,226.98
229599,143.26
276531,310.7
17872,271.63
7688,106.05
220627,217.67
40830,133.95
10908,82.79
191214,171.16
6461,282.79
34725,236.28
232800,124.65
71429,271.63
74284,124.65
189921,115.35
178515,124.65
70638,208.38
29635,271.63
182158,264.19
210573,171.16
52182,124.65
160109,171.16
272750,310.7
49393,271.63
81094,273.49
288013,310.7
12677,315.35
261061,264.19
85058,152.56
212440,115.35
162967,310.7
130306,171.16
101710,189.77
268082,217.67
254981,292.09
6411,106.05
158591,92.09
191266,310.7
183269,236.28
21268,180.47
114541,152.56
264040,143.26
200396,217.67
246469,217.67
73890,199.07
288844,264.19
261719,124.65
256364,292.09
90856,338.6
259995,217.67
88929,271.63
97821,338.6
239576,217.67
8616,152.56
51092,254.89
160104,143.26
96452,189.77
257653,171.16
247980,217.67
13360,245.58
14205,217.67
243873,199.07
265655,310.7
178940,217.67
5012,171.16
154024,175.81
167215,171.16
282930,468.84
207099,124.65
126947,217.67
33188,133.95
32542,133.95
129670,310.7
147751,124.65
221627,236.28
133571,310.7
193835,133.95
248283,199.07
94710,124.65
74523,273.49
75750,236.28
245504,236.28
75396,124.65
164534,143.26
39789,161.86
114405,152.56
79408,271.63
271937,338.6
282909,264.19
270579,310.7
202716,124.65
137247,87.44
153992,222.33
135808,375.81
142524,222.33
137598,217.67
71786,124.65
67512,180.47
218940,217.67
97884,180.47
84461,152.56
191587,217.67
245922,310.7
219580,236.28
176443,124.65
211548,171.16
162000,124.65
5794,171.16
61873,147.91
203531,115.35
152580,152.56
92439,347.91
89743,189.77
74219,143.25
143113,217.67
78207,231.63
2142,180.47
248441,124.65
1519,282.79
227987,217.67
23846,292.09
97166,124.65
117588,208.37
262674,338.6
226163,124.65
150812,217.67
208804,171.16
246946,236.28
141988,199.07
110363,171.16
177576,171.16
140407,124.65
181633,161.86
46201,226.98
57565,422.33
157478,292.09
76050,124.65
136819,87.44
232756,171.16
135648,310.7
262890,310.7
221169,264.19
128774,152.56
144741,310.7
62641,180.47
582,338.6
121724,199.07
52228,254.89
208342,217.67
143336,199.07
252512,217.67
274167,310.7
60456,226.98
136891,143.26
175991,124.65
101765,217.67
91074,124.65
190366,217.67
75105,271.63
92564,180.47
133425,152.56
119936,152.56
231613,124.65
202791,115.35
145774,124.65
177174,310.7
33420,180.47
140160,217.67
236409,310.7
111893,217.67
6144,262.33
262169,171.16
40125,87.44
191794,171.16
226462,115.35
205779,217.67
46175,301.4
50649,217.67
1995,208.37
237536,310.7
84009,124.65
58804,271.63
97814,226.98
274362,161.86
288501,468.84
259340,217.67
171645,310.7
39142,236.28
182470,171.16
158011,124.65
100862,152.56
214890,236.27
108252,310.7
266350,264.19
121122,217.67
85549,226.98
270250,264.19
61055,292.09
158476,143.26
37168,250.24
3997,138.61
30455,82.79
47880,226.98
161506,171.16
274429,199.07
150142,310.7
119721,152.56
25057,199.07
80391,199.07
81395,199.07
165491,171.16
111208,199.07
208670,171.16
131386,87.44
52467,357.2
147327,124.65
53875,180.47
146342,310.7
145600,199.07
278584,217.67
40377,133.95
9550,262.33
120745,199.07
274699,468.84
27395,264.19
30410,320.0
137665,375.81
43275,245.58
114905,124.65
57861,143.25
50627,375.81
16404,213.03
46686,271.63
283217,264.19
216797,310.7
101784,189.77
261416,171.16
276805,217.67
152584,217.67
4926,217.67
64996,208.37
264579,171.16
19295,82.79
22321,133.95
14902,152.56
103240,217.67
237908,310.7
105841,180.47
218628,310.7
142764,124.65
108483,217.67
23769,217.67
13623,262.33
20233,292.09
91587,222.33
57932,180.47
256879,199.07
7620,262.33
223930,217.67
174833,124.65
149175,124.65
132657,124.65
65660,273.49
12096,87.44
200496,217.67
92198,217.68
17244,171.16
5518,189.76
67004,231.63
141526,199.07
204724,124.65
238209,124.65
18789,133.95
273378,338.6
171674,310.7
91949,180.47
9519,338.6
122116,199.07
182004,310.7
60191,271.63
1655,82.79
3925,171.16
249972,171.16
100676,124.65
142441,87.44
150992,199.07
101414,124.65
142993,217.67
108316,310.7
25856,217.67
279889,310.7
76943,217.67
61770,226.97
86078,217.67
6565,115.35
276035,264.19
20378,180.47
44125,271.63
9090,133.96
10085,366.51
52259,250.24
163003,310.7
95313,152.56
86867,217.68
78728,271.63
213451,310.7
224713,199.07
249304,310.7
48526,271.63
134214,217.67
279629,366.51
156983,143.26
180343,310.7
215056,310.7
191006,124.65
149159,199.07
268083,217.67
256906,199.07
234381,199.07
58066,124.65
16755,262.33
42100,161.86
256717,292.09
127804,217.67
10966,138.61
212579,133.95
100888,152.56
266061,264.19
287119,199.07
274583,310.7
162675,143.26
147568,152.56
164157,124.65
64685,124.65
42467,152.55
11757,282.79
56202,203.73
219403,124.65
35402,245.58
27014,106.05
278661,310.7
282968,199.07
229566,143.26
94359,180.47
198066,115.35
137849,171.16
71440,431.63
106792,310.7
71720,380.47
232783,310.7
95539,273.49
220,262.33
223317,143.26
62678,180.47
112324,171.16
114456,124.65
5121,106.05
239206,310.7
102861,217.67
15687,171.16
63769,226.98
152346,171.16
156527,129.3
63718,124.65
227623,124.65
41961,161.86
124255,124.65
24456,82.79
130807,152.56
212713,133.95
146372,310.7
61214,143.25
93558,124.65
132198,171.16
231666,143.26
66731,282.79
19582,271.63
99457,271.63
226277,115.35
268486,171.16
7690,106.05
199862,171.16
159356,217.67
235570,310.7
152323,264.19
258835,292.09
84499,273.49
89980,245.58
196571,217.67
61707,124.65
68651,124.65
250719,143.26
104524,217.67
256800,236.28
104845,217.67
38350,292.09
115242,310.7
141108,310.7
3280,217.67
277240,366.51
191231,310.7
112824,124.65
108256,347.91
19400,320.0
167511,92.09
52932,180.47
73914,180.47
104729,189.77
36495,133.95
13267,171.16
95835,124.65
146642,217.67
162227,124.65
25798,385.12
97081,189.77
90021,413.03
150438,171.16
135333,87.44
73239,180.47
29677,271.63
15753,203.72
262671,310.7
92363,124.65
89833,273.49
152796,124.65
182968,124.65
90916,180.47
159579,431.63
155841,175.81
80575,226.98
118558,124.65
132691,124.65
114710,217.67
249705,217.67
9320,240.93
233192,124.65
87503,217.67
126302,124.65
54486,271.63
20680,115.35
110255,199.07
205281,124.65
159397,217.67
160471,92.09
139055,87.44
221877,236.28
165726,92.09
134133,171.16
63717,124.65
44926,115.35
67694,180.47
60978,124.65
247770,310.7
208121,385.12
260813,310.7
188344,310.7
15887,106.05
179612,87.44
272420,143.26
74731,180.47
36689,133.95
267150,217.67
284264,310.7
4212,262.33
21353,129.31
157641,171.16
194553,310.7
41859,161.86
162462,217.67
175123,124.65
92146,217.68
136226,152.56
76373,124.65
220865,217.67
105261,124.65
128596,199.07
251538,217.67
